state,state_code,total_households,mean_income,gini_coefficient,theil_index,atkinson_05,atkinson_10,atkinson_15,palma_ratio,p90_p10_ratio,top_10_share,bottom_40_share
Maryland,24,2318124,115413.3493290264,0.38391657092777665,0.24570760539464964,0.1333858690619979,0.2896316136066427,0.4629818861494783,0.0,11.11111111111111,0.0,0.22286955354431506
Massachusetts,25,2740995,115125.11788602314,0.39947235562428585,0.26736991445185887,0.14551786784419696,0.3140436952137793,0.49274208145763343,0.0,14.285714285714286,0.0,0.1282691390770786
Michigan,26,4009253,86548.74112459354,0.41857572413518707,0.2877624820057383,0.14890061129460896,0.3063436879649788,0.4645619743190804,1.4600078108479684,10.0,0.23553887395755224,0.16132713277797597
Minnesota,27,2256126,101683.4742385842,0.3914474577199707,0.2513652263750626,0.13269913783544263,0.27976577716408946,0.43684335779941386,0.0,11.11111111111111,0.0,0.17499461555263784
Mississippi,28,1121269,70418.61720960804,0.4479977168801379,0.33189659088365314,0.16846642407854917,0.33758890409140585,0.49499128613393595,1.202266242953708,14.0,0.167857776668893,0.1396178073306814
Missouri,29,2458324,83584.59360930455,0.41928827690191417,0.288945265383335,0.14874231662848392,0.30445572632044304,0.4598205669744596,1.2584499045040949,10.0,0.21782987607980686,0.17309379999964716
Montana,30,443917,83398.87298751794,0.4153956986056607,0.28371314460291874,0.14558732152337184,0.29741216769981826,0.44946206681865564,1.2390655280561227,10.0,0.21561400595629476,0.17401340048137362
Nebraska,31,776379,88508.87581967055,0.4026363960317716,0.2661029466483751,0.13800811079979147,0.28567114498018464,0.4382912162373327,1.4381650618615742,10.0,0.22000923869265188,0.15297912911878828
Nevada,32,1163671,89568.39819845988,0.41071548815629977,0.27754624890010193,0.14480197976670384,0.30153720366751646,0.4637593571983548,1.623390778718228,10.0,0.2420339476915293,0.14909161174528215
New Hampshire,33,545116,107872.78762685374,0.383995650033949,0.24209334967702534,0.12856087265324034,0.27239455218109165,0.4273095911623527,0.0,11.11111111111111,0.0,0.15432447044851696
